xflr5 v6.58

Plane name :        Windtunnel 3D
Polar name :        T1-50.0 m/s-LLT
Free-stream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.237581   0.003461   0.006723   0.010185   0.000000   0.000000   0.060460   0.000000   0.000000   50.0000     0.0595
   -2.900     0.000  -0.228638   0.003263   0.006708   0.009971   0.000000   0.000000   0.058216   0.000000   0.000000   50.0000     0.0595
   -2.800     0.000  -0.220682   0.003047   0.006694   0.009741   0.000000   0.000000   0.056212   0.000000  -0.000000   50.0000     0.0596
   -2.700     0.000  -0.212832   0.002834   0.006687   0.009521   0.000000   0.000000   0.054227   0.000000   0.000000   50.0000     0.0596
   -2.600     0.000  -0.204954   0.002629   0.006683   0.009312   0.000000   0.000000   0.052233   0.000000  -0.000000   50.0000     0.0596
   -2.500     0.000  -0.197063   0.002432   0.006683   0.009115   0.000000   0.000000   0.050233   0.000000  -0.000000   50.0000     0.0596
   -2.400     0.000  -0.189175   0.002242   0.006683   0.008926   0.000000   0.000000   0.048234   0.000000   0.000000   50.0000     0.0597
   -2.300     0.000  -0.181314   0.002061   0.006684   0.008745   0.000000   0.000000   0.046248   0.000000   0.000000   50.0000     0.0597
   -2.200     0.000  -0.173535   0.001888   0.006674   0.008562   0.000000   0.000000   0.044300   0.000000  -0.000000   50.0000     0.0597
   -2.100     0.000  -0.165753   0.001723   0.006667   0.008390   0.000000   0.000000   0.042352   0.000000   0.000000   50.0000     0.0598
   -2.000     0.000  -0.157926   0.001565   0.006665   0.008230   0.000000   0.000000   0.040380   0.000000   0.000000   50.0000     0.0598
   -1.900     0.000  -0.150035   0.001413   0.006662   0.008075   0.000000   0.000000   0.038374   0.000000   0.000000   50.0000     0.0599
   -1.800     0.000  -0.142061   0.001269   0.006654   0.007923   0.000000   0.000000   0.036327   0.000000  -0.000000   50.0000     0.0599
   -1.700     0.000  -0.134080   0.001131   0.006650   0.007781   0.000000   0.000000   0.034274   0.000000   0.000000   50.0000     0.0598
   -1.600     0.000  -0.126106   0.001002   0.006648   0.007650   0.000000   0.000000   0.032225   0.000000   0.000000   50.0000     0.0598
   -1.500     0.000  -0.118137   0.000880   0.006648   0.007528   0.000000   0.000000   0.030178   0.000000   0.000000   50.0000     0.0598
   -1.400     0.000  -0.110188   0.000767   0.006649   0.007416   0.000000   0.000000   0.028142   0.000000  -0.000000   50.0000     0.0598
   -1.300     0.000  -0.102264   0.000662   0.006649   0.007311   0.000000   0.000000   0.026118   0.000000  -0.000000   50.0000     0.0598
   -1.200     0.000  -0.094404   0.000565   0.006641   0.007206   0.000000   0.000000   0.024124   0.000000   0.000000   50.0000     0.0598
   -1.100     0.000  -0.086569   0.000476   0.006634   0.007110   0.000000   0.000000   0.022143   0.000000   0.000000   50.0000     0.0599
   -1.000     0.000  -0.078725   0.000395   0.006630   0.007025   0.000000   0.000000   0.020156   0.000000   0.000000   50.0000     0.0600
   -0.900     0.000  -0.070839   0.000320   0.006628   0.006948   0.000000   0.000000   0.018149   0.000000   0.000000   50.0000     0.0600
   -0.800     0.000  -0.062928   0.000254   0.006624   0.006878   0.000000   0.000000   0.016129   0.000000   0.000000   50.0000     0.0600
